// Cash Shop Database
// Contains the items sold in the ingame cash shop.
//
// Structure of Database:
// Type,ItemID,Price
//
// Type:
//    0: New
//    1: Hot
//    2: Limited
//    3: Rental
//    4: Gear
//    5: Buff
//    6: Heal
//    7: Other
//    8: Sale
//
// Price:
//    Item cost, in cash points (#CASHPOINTS).

0,14717,648
0,23196,648
0,17588,648
0,14296,648
0,14345,648
0,17016,648
0,17050,648
0,16774,648
0,14317,648
0,14664,648
0,17532,648
0,17447,648
0,17692,648
0,14624,648
0,17026,648
0,16681,648
0,16257,648
0,17011,648
0,16996,648
0,17613,648
0,17628,648
0,14297,648
0,12829,648
0,12714,648
0,17035,648
0,17572,648
0,12828,648
0,17659,648
0,17552,648
0,14699,648
0,17107,648
0,17082,648
0,16757,648
0,17494,648
0,14363,648
0,12850,648
0,17337,648
0,17239,648
0,17207,648
0,17435,648
0,17320,648
0,14741,648
0,14626,648

